id_item,nivel_5b,estado_operacional,lote_origen,fuente_decision,ruta_origen,carpeta_origen,ruta_destino_operacional,accion_5b,observaciones
MTV_B22_I08,premium,MATERIALIZADO,L033+L047,"fase-5/banco-final.csv + trazabilidad/L047/decisiones.csv","content/items/Aprendizaje significativo Ausubel/MTV_B22_I08.json","Aprendizaje significativo Ausubel","content/items/Aprendizaje significativo Ausubel/MTV_B22_I08.json",mantener_en_banco,"Materializado en Fase 5 y confirmado por decisión heredada L047."
CB14_I03,premium,MATERIALIZADO,L025,fase-5/banco-final.csv,"content/items/Propósitos de la educación/CB14_I03.json","Propósitos de la educación","content/items/Propósitos de la educación/CB14_I03.json",mantener_en_banco,"Ya materializado en Fase 5."
CB15_I03,premium,CANDIDATO_PROMOCION,L017+L057,trazabilidad/L057/decisiones.csv,"content/items/stand-by/Fases enseñanza/CB15_I03.json","Fases enseñanza","content/items/Fases enseñanza/CB15_I03.json",promover_desde_stand_by,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría."
IDD_B12_I01,premium,CANDIDATO_PROMOCION,L012+L043,trazabilidad/L043/decisiones.csv,"content/items/stand-by/Didáctica de áreas, resolución de problemas y material concreto/IDD_B12_I01.json","Didáctica de áreas, resolución de problemas y material concreto","content/items/Didáctica de áreas, resolución de problemas y material concreto/IDD_B12_I01.json",promover_desde_stand_by,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría."
IDD_B12_I02,premium,CANDIDATO_PROMOCION,L012+L043,trazabilidad/L043/decisiones.csv,"content/items/stand-by/Didáctica de áreas, resolución de problemas y material concreto/IDD_B12_I02.json","Didáctica de áreas, resolución de problemas y material concreto","content/items/Didáctica de áreas, resolución de problemas y material concreto/IDD_B12_I02.json",promover_desde_stand_by,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría."
IDD_B12_I03,premium,CANDIDATO_PROMOCION,L012+L043,trazabilidad/L043/decisiones.csv,"content/items/stand-by/Didáctica de áreas, resolución de problemas y material concreto/IDD_B12_I03.json","Didáctica de áreas, resolución de problemas y material concreto","content/items/Didáctica de áreas, resolución de problemas y material concreto/IDD_B12_I03.json",promover_desde_stand_by,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría."
IDD_B12_I05,premium,CANDIDATO_PROMOCION,L012+L043,trazabilidad/L043/decisiones.csv,"content/items/stand-by/Didáctica de áreas, resolución de problemas y material concreto/IDD_B12_I05.json","Didáctica de áreas, resolución de problemas y material concreto","content/items/Didáctica de áreas, resolución de problemas y material concreto/IDD_B12_I05.json",promover_desde_stand_by,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría."
GA02_B03_I01,premium,CANDIDATO_PROMOCION,L012+L043,trazabilidad/L043/decisiones.csv,"content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I01.json","Didáctica, diversidad y planeación de aula","content/items/Didáctica, diversidad y planeación de aula/GA02_B03_I01.json",promover_desde_stand_by,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría."
GA02_B03_I02,premium,CANDIDATO_PROMOCION,L012+L043,trazabilidad/L043/decisiones.csv,"content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I02.json","Didáctica, diversidad y planeación de aula","content/items/Didáctica, diversidad y planeación de aula/GA02_B03_I02.json",promover_desde_stand_by,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría."
GA02_B03_I04,premium,CANDIDATO_PROMOCION,L012+L043,trazabilidad/L043/decisiones.csv,"content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I04.json","Didáctica, diversidad y planeación de aula","content/items/Didáctica, diversidad y planeación de aula/GA02_B03_I04.json",promover_desde_stand_by,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría."
NFL_B08_I04,premium,CANDIDATO_PROMOCION,L019+L039,trazabilidad/L039/decisiones.csv,"content/items/stand-by/Igualdad material, discriminación positiva y debilidad manifiesta/NFL_B08_I04.json","Igualdad material, discriminación positiva y debilidad manifiesta","content/items/Igualdad material, discriminación positiva y debilidad manifiesta/NFL_B08_I04.json",promover_desde_stand_by,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría."
IDD_B06_I05,premium,CANDIDATO_PROMOCION,L020+L039,trazabilidad/L039/decisiones.csv,"content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I05.json","Inclusión práctica vs. segregación en aula","content/items/Inclusión práctica vs. segregación en aula/IDD_B06_I05.json",promover_desde_stand_by,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría."
IDD_B07_I01,premium,CANDIDATO_PROMOCION,L020+L039,trazabilidad/L039/decisiones.csv,"content/items/stand-by/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I01.json","Inclusión, equidad socioeconómica y adaptabilidad curricular","content/items/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I01.json",promover_desde_stand_by,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría."
IDD_B07_I03,premium,CANDIDATO_PROMOCION,L020+L039,trazabilidad/L039/decisiones.csv,"content/items/stand-by/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I03.json","Inclusión, equidad socioeconómica y adaptabilidad curricular","content/items/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I03.json",promover_desde_stand_by,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría."
IDD_B07_I04,premium,CANDIDATO_PROMOCION,L020+L039,trazabilidad/L039/decisiones.csv,"content/items/stand-by/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I04.json","Inclusión, equidad socioeconómica y adaptabilidad curricular","content/items/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I04.json",promover_desde_stand_by,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría."
