sourceFolder,proposedArea,proposedProfile,proposedItemCategory,confidence,proposedTargetPath,notes
"Misión institucional",gestion,rector_director_rural,basica,media,"content/restructuring-v1/docente/gestion/rector_director_rural/basica/","Puede extenderse a coordinador en segunda pasada."
"Motricidad, aprestamiento y ubicación espacio-temporal",pedagogia,preescolar,funcional,alta,"content/restructuring-v1/docente/pedagogia/preescolar/funcional/","Afinidad clara con preescolar."
"Normatividad, fines de la educación y educación no formal",normatividad,por_confirmar,basica,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/basica/","Marco legal general."
"PARD y restablecimiento de derechos",normatividad,orientador,funcional,alta,"content/restructuring-v1/docente/normatividad/orientador/funcional/","Ruta de proteccion fuertemente asociada a orientacion."
"PEI y actores",gestion,rector_director_rural,funcional,alta,"content/restructuring-v1/docente/gestion/rector_director_rural/funcional/","Gobernanza y apropiacion del PEI."
"PEI, currículo oficial y Manual de Convivencia",gestion,rector_director_rural,funcional,alta,"content/restructuring-v1/docente/gestion/rector_director_rural/funcional/","Articulacion institucional."
"PRAE y contexto ambiental",gestion,coordinador,funcional,media,"content/restructuring-v1/docente/gestion/coordinador/funcional/","Proyecto transversal con implementacion institucional."
"Participación infantil, agencia y Convención sobre los Derechos del Niño",competencias_ciudadanas,preescolar,funcional,media,"content/restructuring-v1/docente/competencias_ciudadanas/preescolar/funcional/","Participacion infantil y derechos."
"Pensamiento científico y didáctica en básica secundaria",pedagogia,secundaria_media,funcional,alta,"content/restructuring-v1/docente/pedagogia/secundaria_media/funcional/","Ajuste claro por nivel."
"Praxis pedagógica, didáctica y selección metodológica",pedagogia,por_confirmar,basica,media,"content/restructuring-v1/docente/pedagogia/por_confirmar/basica/","Marco conceptual con salida funcional posterior."
"Propósitos de la educación",normatividad,por_confirmar,basica,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/basica/","Fines y propositos legales de la educacion."
"Práctica pedagógica no homogeneizadora y diversidad",pedagogia,por_confirmar,funcional,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Atencion a la diversidad en aula."
"Referentes PEI",gestion,rector_director_rural,basica,media,"content/restructuring-v1/docente/gestion/rector_director_rural/basica/","Puede migrar a funcional tras lectura de items."
"Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes",normatividad,coordinador,funcional,media,"content/restructuring-v1/docente/normatividad/coordinador/funcional/","Convivencia y proteccion institucional."
"Responsabilidad legal",normatividad,por_confirmar,funcional,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/funcional/","Responsabilidad profesional e institucional."
"Rol, funciones y límites del orientador escolar",normatividad,orientador,funcional,alta,"content/restructuring-v1/docente/normatividad/orientador/funcional/","Definicion aplicada del rol orientador."
"Sesgos culturales, lenguaje inclusivo y discriminación cotidiana",competencias_ciudadanas,por_confirmar,comportamental,alta,"content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/","Juicio relacional e inclusion."
"Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones",normatividad,coordinador,funcional,alta,"content/restructuring-v1/docente/normatividad/coordinador/funcional/","Aplicacion de la ruta de convivencia."
"Sistema de alertas",gestion,orientador,funcional,media,"content/restructuring-v1/docente/gestion/orientador/funcional/","Sistema institucional de seguimiento y remision."
"Tipos de currículo",pedagogia,por_confirmar,basica,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/basica/","Clasificacion curricular."
"Tipos de normas - acto legislativo, ley ordinaria y ley estatutaria",normatividad,por_confirmar,basica,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/basica/","Jerarquia normativa general."
"Trabajo infantil y edad mínima",normatividad,orientador,basica,media,"content/restructuring-v1/docente/normatividad/orientador/basica/","Proteccion de NNA y alertas de vulneracion."
