"id_item","estado_beta","prioridad","area_canonica","subarea","perfil_sugerido","tipo_item","aprovechamiento_opec","ruta_origen","lote","notas","fuente_backlog"
"CEOL_B10_I01","DESCARTE_TECNICO","-100","normatividad","organizacion_educativa","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I01.json","L003","Ítem normativo de memoria casi textual sobre los enfoques de la Ley 1620. El contexto no transforma la tarea real, los distractores compiten poco y el valor discriminativo para el banco es insuficiente. / Memoria normativa plana sobre enfoques de convivencia sin decisión institucional observable. / Se resuelve por memoria normativa casi textual sobre los enfoques de la Ley 1620. El caso es decorativo y no aporta juicio de gestion real.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B10_I05","DESCARTE_TECNICO","-100","normatividad","organizacion_educativa","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I05.json","L003","Ítem excesivamente dependiente de recordar cifras horarias exactas y de comparar varias reglas de cargos distintos dentro de opciones largas. La dificultad proviene del recuerdo literal y de la carga verbal, no del constructo de juicio institucional. / La tarea depende de cifras normativas recordadas literalmente y no de decisión institucional observable. / Depende de recordar cifras horarias exactas y mezcla varios cargos en opciones largas. La dificultad proviene del recuerdo literal y de la c","remanufactura/deuda-remanufactura-total.csv"
"DIL_B02_I01","DESCARTE_TECNICO","-100","normatividad","Concepto básico del procedimiento","orientador","funcional","RECONSTRUIR_OPEC","content/items/stand-by/PARD y restablecimiento de derechos/DIL_B02_I01.json","L001","PARD nombra el procedimiento administrativo de protección orientado a restablecer derechos vulnerados o amenazados de niños, niñas y adolescentes. / Pregunta por la expansion de la sigla PARD y su definicion general, lo que la convierte en memoria legal plana de baja utilidad para el banco.","remanufactura/deuda-remanufactura-total.csv"
"DIL_B03_I01","DESCARTE_TECNICO","-100","normatividad","evolucion_normativa_infancia","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Evolución normativa - Código del Menor vs. Ley 1098/DIL_B03_I01.json","L016","El ítem se apoya en recordar el contraste doctrinal entre situación irregular y protección integral, sin llevar esa diferencia a una decisión institucional o jurídica situada.","remanufactura/deuda-remanufactura-total.csv"
"DIL_B03_I02","DESCARTE_TECNICO","-100","normatividad","evolucion_normativa_infancia","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Evolución normativa - Código del Menor vs. Ley 1098/DIL_B03_I02.json","L016","La tarea es una interpretación plana del concepto de situación irregular; predomina memoria jurídica y los distractores no ofrecen competencia suficiente.","remanufactura/deuda-remanufactura-total.csv"
"DIL_B03_I03","DESCARTE_TECNICO","-100","normatividad","evolucion_normativa_infancia","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Evolución normativa - Código del Menor vs. Ley 1098/DIL_B03_I03.json","L016","Aunque el contexto intenta situar el caso, la respuesta correcta depende sobre todo de recordar una formulación doctrinal general sobre titularidad de derechos y prevalencia del interés superior.","remanufactura/deuda-remanufactura-total.csv"
"DIL_B05_I02","DESCARTE_TECNICO","-100","normatividad","menor_infractor","orientador","funcional","REVISION_OPEC","content/items/stand-by/Menor infractor, edad penal y rutas de protección/DIL_B05_I02.json","L022","La respuesta correcta aplica la ruta administrativa de protección correspondiente a menores de 14 años, no el régimen penal adolescente ni la justicia ordinaria.","remanufactura/deuda-remanufactura-total.csv"
"DIL_B05_I03","DESCARTE_TECNICO","-100","normatividad","menor_infractor","orientador","funcional","REVISION_OPEC","content/items/stand-by/Menor infractor, edad penal y rutas de protección/DIL_B05_I03.json","L022","La respuesta correcta distingue dos rutas claramente diferentes: protección administrativa antes de los 14 años y sistema penal adolescente especializado a partir de los 14.","remanufactura/deuda-remanufactura-total.csv"
"PPDC_B06_I02","DESCARTE_TECNICO","-100","normatividad","Educación para el trabajo y el desarrollo humano","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Normatividad, fines de la educación y educación no formal/PPDC_B06_I02.json","L001","La ETDH agrupa ofertas estructuradas que desarrollan competencias ocupacionales sin hacer parte del sistema formal por niveles y grados. / Aunque tiene apariencia de caso, la tarea central es clasificar juridicamente la oferta como educacion para el trabajo y el desarrollo humano; depende de recuerdo normativo y no de juicio institucional o pedagogico suficiente. / Ya auditado en L023; se conserva la trazabilidad previa y no se reprocesa en este lote.","remanufactura/deuda-remanufactura-total.csv"
"CB14_I02","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Propósitos de la educación/CB14_I02.json","L025","El ítem formula una adhesión casi declarativa a proyectos transversales valiosos, pero con una clave demasiado obvia y sin suficiente tensión cognitiva para discriminar bien.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B01_I01","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I01.json","L028","Pregunta de memoria literal sobre ejes del Sistema Nacional de Convivencia Escolar; no exige lectura situada de ruta ni decision profesional observable. / Memoria legal plana de ejes normativos sin ruta situada.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B01_I02","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I02.json","L028","Usa contexto escolar para preguntar el origen de la ley; el contexto no altera la tarea y la discriminacion potencial es baja. / Origen de la ley preguntado con contexto decorativo y sin decisión profesional observable.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B01_I03","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I03.json","L028","Reduce la Ruta de Atencion a recuerdo de componentes y no a decision situada frente a un caso. / Recuerdo de componentes de la ruta sin convivencia aplicada ni proporcionalidad situada.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B01_I04","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I04.json","L028","Pregunta solo la jerarquia del sistema; es clasificacion memoristica con poco valor para el banco. / Clasificación memorística de niveles del sistema con baja dificultad auténtica.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B02_I02","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I02.json","L013-A","Se queda en una interpretación general de sujetos de derechos con distractores demasiado obvios; no exige juicio profesional situado ni discrimina bien. / Pregunta definicional sobre sujeto de derechos; no exige actuación profesional observable.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B02_I03","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I03.json","L013-A","La clave depende de recordar la prevalencia constitucional de los derechos de NNA; el caso no añade una decisión escolar suficientemente exigente. / Depende de memoria constitucional y baja discriminación en contexto escolar situado.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B04_I01","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Corresponsabilidad, entorno y cuidado institucional/CEOL_B04_I01.json","L006-A","Memoria normativa casi literal sobre los tres actores corresponsables. El contexto no cambia la tarea real y los distractores son demasiado débiles para sostener valor psicométrico.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B05_I01","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/PEI, currículo oficial y Manual de Convivencia/CEOL_B05_I01.json","L024","Pregunta definicion de curriculo oficial frente a curriculo oculto y nulo. El contexto institucional es decorativo y no exige articulacion situada. / Pregunta de clasificación doctrinal sobre currículo oficial frente a currículo oculto y nulo. El contexto no obliga a decidir una actuación institucional real y la clave se sostiene por definición. / Taxonomía curricular plana sin lectura institucional situada. / El item solo pide distinguir curriculo oficial de curriculo oculto y nulo. El contexto","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B05_I02","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/PEI, currículo oficial y Manual de Convivencia/CEOL_B05_I02.json","L024","La tarea real es recordar la relacion jerarquica entre PEI y Manual de Convivencia, no resolver una decision institucional observable. / El enunciado aparenta lectura institucional, pero la operación mental central es recordar la jerarquía entre PEI y Manual de Convivencia; los distractores son poco competitivos y la clave sobresale por doctrina básica. / Jerarquía documental preguntada como memoria conceptual con contexto decorativo. / Se disfraza de articulacion institucional, pero la tarea re","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B05_I03","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/PEI, currículo oficial y Manual de Convivencia/CEOL_B05_I03.json","L024","Item taxonomico sobre funcion estructural de PEI, curriculo y manual. Los distractores son conceptuales, no errores institucionales plausibles. / Reduce la relación PEI-currículo-manual a una taxonomía de funciones. No exige resolver una incoherencia institucional concreta ni priorizar una decisión de gestión curricular. / Relación PEI-currículo-manual convertida en taxonomía funcional memorística, sin decisión observable. / Reduce la relacion entre PEI, curriculo y manual a taxonomia estructura","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B06_I01","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Evaluación formativa, mejora continua y lenguaje evaluativo/CEOL_B06_I01.json","L015","Es una pregunta definicional sobre el rasgo general de la evaluación formativa; no exige resolución pedagógica situada ni uso real de evidencia para mejorar el aprendizaje. / Formula la evaluacion formativa como definicion correcta frente a distractores muy previsibles. No pide usar evidencia, ni retroalimentacion, ni reajuste didactico en una situacion profesional concreta. / La respuesta correcta depende de un reconocimiento definicional de evaluación formativa y no de una decisión basada en e","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B06_I02","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Evaluación formativa, mejora continua y lenguaje evaluativo/CEOL_B06_I02.json","L015","Se centra en el objetivo general de evaluar por competencias y no en evaluación formativa como uso de evidencia; queda demasiado conceptual para el foco del lote. / Se limita a preguntar el objetivo general de evaluar por competencias. La clave se reconoce por discurso oficial y los distractores no representan errores finos de interpretacion evaluativa. / Se mueve en generalidades sobre competencias y mejora, con pseudoanálisis y bajo valor de discriminación para el banco.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B07_I03","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Ideas previas, conflicto cognitivo y desarrollo constructivista/CEOL_B07_I03.json","L018","Pseudoanalisis basado en definicion epistemologica del constructivismo. El item no exige accion docente observable y sus distractores son caricaturescos.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B07_I04","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","REVISION_OPEC","content/items/stand-by/Ideas previas, conflicto cognitivo y desarrollo constructivista/CEOL_B07_I04.json","L018","El contexto es decorativo y la tarea real es reconocer la formulacion teorica correcta sobre asimilacion. No aporta evidencia aplicable al rol docente.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B07_I05","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Ideas previas, conflicto cognitivo y desarrollo constructivista/CEOL_B07_I05.json","L018","Recuerda la relacion entre conflicto cognitivo, desequilibrio y acomodacion, pero no observa una decision pedagogica ni ofrece distractores con fuerza discriminativa suficiente.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B07_I06","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Ideas previas, conflicto cognitivo y desarrollo constructivista/CEOL_B07_I06.json","L018","Mide definicion de equilibrio cognitivo y saber hacer en contexto mediante opciones obvias, sin convertir el concepto en accion docente observable.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B08_I02","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","REVISION_OPEC","content/items/stand-by/Enseñar, formar, motivación didáctica y competencias socioemocionales/CEOL_B08_I02.json","L014","Pregunta una definicion de enseñar por competencias y no una comparacion didactica fina con accion observable.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B08_I03","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Enseñar, formar, motivación didáctica y competencias socioemocionales/CEOL_B08_I03.json","L014","Se apoya en un lugar comun sobre formacion integral y distractores moralmente demasiado obvios.","remanufactura/deuda-remanufactura-total.csv"
"CEOL_B08_I05","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Enseñar, formar, motivación didáctica y competencias socioemocionales/CEOL_B08_I05.json","L014","La clave depende de clasificacion normativa plana sobre competencias comportamentales segun una guia; no hay accion docente observable.","remanufactura/deuda-remanufactura-total.csv"
"DIL_B01_I01","DESCARTE_TECNICO","-100","pedagogia","","por_confirmar","basica","RECONSTRUIR_OPEC","content/items/stand-by/Corresponsabilidad, protección integral y sujetos de derechos/DIL_B01_I01.json","L006-A","Pregunta por el nombre del principio jurídico de la Ley 1098. La tarea es nominal, el contexto no agrega decisión real y los distractores son de relleno. / La clave depende del recuerdo directo del nombre del principio y el contexto no añade una decisión profesional observable. / Ítem ya auditado en L029 con decisión DESCARTAR; no se reprocesa.","remanufactura/deuda-remanufactura-total.csv"
